listing_id,sme_id,country,city,waste_category,waste_item,volume_kg,contamination_risk,ai_routing_score,recommended_recycler_id,match_status,total_co2_offset,status,pH,created_at,waste_type_id,subcategory_id,toxicity_level,recommended_handling,storage_risk_level,documentation_status,regulatory_category
235,118,Nigeria,Abuja,Liquid,Used Cooking Oil,142.46,Low,,42,Unmatched,12.93,In Progress,9.93,2026-02-15 18:19:18,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
236,118,Nigeria,Abuja,Organic,Agricultural Residue,348.6,High,,44,Unmatched,296.51,Open,5.43,2025-10-08 05:08:29,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
237,119,Nigeria,Port Harcourt,Solid,Textiles/Used Clothing,373.99,High,,32,Matched,376.58,Open,7.29,2025-10-01 14:45:03,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
238,119,Nigeria,Port Harcourt,Solid,Textiles/Used Clothing,272.41,High,,25,Matched,155.61,Closed,7.08,2025-09-20 04:07:21,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
239,120,Kenya,Kisumu,Organic,Livestock Manure,402.36,Low,,21,Unmatched,103.27,In Progress,6.05,2026-02-13 22:48:22,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
240,120,Kenya,Kisumu,Solid,LDPE 'Sachet' Water Bags,249.34,Low,,24,Unmatched,129.02,Open,7.34,2025-12-19 13:16:10,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Not Started,General
241,121,Nigeria,Lagos,Organic,Market Waste,381.94,Low,,10,Unmatched,186.05,Closed,5.96,2026-02-10 13:54:38,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
242,121,Nigeria,Lagos,Liquid,Septage/Sewage,47.49,High,,4,Unmatched,15.91,In Progress,10.09,2025-12-09 06:14:14,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
243,122,Kenya,Nakuru,Others,Miscellaneous,399.63,Low,,34,Unmatched,185.74,Open,6.71,2025-09-24 18:37:17,4,16,Low,Store safely and avoid uncontrolled disposal.,Normal,Not Started,Regulated
244,122,Kenya,Nakuru,Solid,Scrap Metal,282.93,Medium,,23,Matched,75.78,Closed,7.2,2025-10-24 15:32:25,2,7,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
245,123,Kenya,Nairobi,Organic,Food Scraps,170.5,Medium,,59,Matched,104.22,Open,6.58,2025-10-07 10:56:37,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
246,123,Kenya,Nairobi,Organic,Livestock Manure,270.01,Low,,26,Matched,126.02,In Progress,5.89,2025-09-22 21:18:12,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
247,124,Kenya,Nakuru,Liquid,Greywater,307.11,Low,,7,Matched,32.13,In Progress,8.35,2026-02-17 12:23:00,3,10,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated
248,124,Kenya,Nakuru,Solid,Scrap Metal,432.3,High,,54,Unmatched,420.92,Closed,6.54,2026-01-22 15:19:01,2,7,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
249,125,Nigeria,Lagos,Organic,Livestock Manure,249.1,High,,48,Matched,136.4,Open,6.29,2025-12-25 05:27:53,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
250,125,Nigeria,Lagos,Organic,Agricultural Residue,401.54,Low,,30,Unmatched,349.83,Open,5.18,2026-01-09 16:52:46,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
251,126,Nigeria,Lagos,Solid,Textiles/Used Clothing,440.32,Low,,12,Unmatched,216.38,Open,6.65,2025-09-28 00:40:27,2,8,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Not Started,General
252,126,Nigeria,Lagos,Organic,Food Scraps,254.2,High,,55,Unmatched,198.26,Closed,5.69,2025-12-16 14:33:37,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
253,127,Nigeria,Abuja,Others,Miscellaneous,447.04,Low,,17,Matched,127.05,Closed,6.62,2025-10-09 14:41:45,4,16,Low,Store safely and avoid uncontrolled disposal.,Normal,Not Started,Regulated
254,127,Nigeria,Abuja,Organic,Livestock Manure,397.67,High,,21,Unmatched,125.59,In Progress,5.99,2026-03-11 22:31:54,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
255,128,Nigeria,Ibadan,Organic,Food Scraps,250.14,Low,,10,Matched,206.38,Closed,5.51,2025-11-04 15:36:06,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
256,128,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,100.72,Low,,42,Unmatched,51.46,In Progress,6.94,2025-09-24 22:11:05,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,In Progress,General
257,129,Kenya,Eldoret,Organic,Agricultural Residue,357.37,Medium,,22,Matched,315.85,Open,5.57,2025-09-29 09:12:48,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
258,129,Kenya,Eldoret,Solid,PET Bottles,424.99,High,,24,Unmatched,473.23,Open,6.83,2025-11-14 02:14:58,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
259,130,Kenya,Eldoret,Solid,Textiles/Used Clothing,372.2,Medium,,39,Matched,391.08,Closed,7.05,2026-01-24 03:39:23,2,8,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
260,130,Kenya,Eldoret,Organic,Market Waste,338.99,Low,,10,Matched,203.79,In Progress,5.36,2025-09-18 12:21:04,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
261,131,Nigeria,Kano,Solid,Textiles/Used Clothing,317.15,High,,6,Matched,119.77,Open,6.92,2026-02-10 00:56:14,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
262,131,Nigeria,Kano,Organic,Agricultural Residue,59.97,Low,,7,Matched,39.1,Open,6.78,2025-10-05 06:13:03,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
263,132,Nigeria,Abuja,Organic,Food Scraps,101.98,High,,26,Unmatched,31.43,Open,6.89,2026-02-15 10:35:26,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
264,132,Nigeria,Abuja,Others,Miscellaneous,417.82,High,,14,Matched,188.33,Closed,7.31,2025-10-10 13:23:53,4,16,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
265,133,Kenya,Kisumu,Liquid,Industrial Effluent,71.79,Low,,34,Unmatched,18.56,Open,4.28,2026-03-14 04:26:46,3,11,Low,Store safely and avoid uncontrolled disposal.,Normal,Not Started,Regulated
266,133,Kenya,Kisumu,Liquid,Septage/Sewage,431.45,High,,54,Matched,76.54,Closed,6.75,2026-01-11 09:01:55,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
267,134,Kenya,Nairobi,Organic,Agricultural Residue,15.85,Medium,,14,Unmatched,12.87,Closed,6.05,2025-10-26 09:43:02,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
268,134,Kenya,Nairobi,Solid,PET Bottles,70.71,Low,,36,Matched,75.36,In Progress,7.45,2026-01-08 14:54:25,2,5,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General
269,135,Kenya,Nairobi,Organic,Agricultural Residue,328.26,High,,24,Matched,108.52,Closed,6.03,2026-03-10 12:15:27,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
270,135,Kenya,Nairobi,Solid,Textiles/Used Clothing,46.51,High,,35,Matched,24.18,In Progress,6.95,2025-10-25 08:39:35,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
271,136,Nigeria,Abuja,Solid,PET Bottles,106.7,High,,35,Matched,121.41,In Progress,7.14,2025-10-22 09:37:26,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
272,136,Nigeria,Abuja,Organic,Market Waste,398.56,High,,11,Unmatched,236.71,In Progress,5.89,2026-01-24 17:42:13,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
273,137,Kenya,Kisumu,Liquid,Used Cooking Oil,163.45,Medium,,59,Unmatched,13.89,Open,2.31,2025-11-23 18:44:38,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
274,137,Kenya,Kisumu,Organic,Food Scraps,472.23,Low,,43,Matched,272.61,In Progress,6.04,2025-09-22 04:50:08,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
275,138,Nigeria,Ibadan,Liquid,Greywater,23.44,Low,,34,Unmatched,6.77,Closed,7.55,2025-10-04 03:32:26,3,10,Low,Store safely and avoid uncontrolled disposal.,Normal,Not Started,Regulated
276,138,Nigeria,Ibadan,Organic,Food Scraps,465.94,High,,36,Matched,248.98,In Progress,6.46,2025-10-14 18:49:22,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
277,139,Kenya,Nairobi,Others,Miscellaneous,262.57,Low,,28,Unmatched,33.62,In Progress,7.24,2026-02-27 18:28:43,4,16,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
278,139,Kenya,Nairobi,Organic,Agricultural Residue,443.28,Low,,50,Matched,317.09,Open,6.61,2026-02-08 10:00:47,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
279,140,Kenya,Nairobi,Organic,Market Waste,213.89,Low,,26,Matched,175.59,Closed,6.78,2025-11-09 09:08:33,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
280,140,Kenya,Nairobi,Liquid,Greywater,124.13,Low,,7,Unmatched,27.04,Closed,3.0,2026-01-07 02:18:55,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
281,141,Kenya,Mombasa,Organic,Livestock Manure,117.91,Medium,,17,Matched,82.89,Open,6.19,2025-11-23 01:30:50,1,4,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
282,141,Kenya,Mombasa,Organic,Agricultural Residue,251.52,Medium,,32,Matched,185.43,Open,5.15,2025-11-23 21:51:52,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
283,142,Nigeria,Ibadan,Organic,Food Scraps,57.79,Low,,59,Unmatched,47.69,Open,6.08,2025-10-17 16:43:47,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
284,142,Nigeria,Ibadan,Organic,Agricultural Residue,32.09,Low,,29,Unmatched,9.99,In Progress,5.29,2026-03-01 13:42:38,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
285,143,Kenya,Mombasa,Organic,Agricultural Residue,221.48,Medium,,4,Unmatched,63.38,Open,5.54,2025-12-22 17:36:13,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
286,143,Kenya,Mombasa,Liquid,Used Cooking Oil,418.89,High,,25,Unmatched,78.45,Open,7.76,2026-02-15 03:16:48,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
287,144,Nigeria,Lagos,Solid,PET Bottles,68.63,Medium,,47,Matched,79.37,Open,6.52,2026-02-04 23:47:11,2,5,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
288,144,Nigeria,Lagos,Solid,Textiles/Used Clothing,243.58,High,,45,Unmatched,267.23,Open,7.31,2026-01-13 13:03:44,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
289,145,Kenya,Mombasa,Organic,Livestock Manure,489.47,High,,17,Unmatched,278.27,In Progress,5.2,2025-11-02 11:27:10,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
290,145,Kenya,Mombasa,Organic,Food Scraps,170.05,High,,53,Unmatched,118.67,Closed,6.41,2025-12-23 13:31:33,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
291,146,Kenya,Kisumu,Organic,Agricultural Residue,498.07,Medium,,24,Matched,109.57,In Progress,5.07,2026-01-05 05:58:03,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
292,146,Kenya,Kisumu,Others,Textiles,461.4,High,,1,Matched,123.62,In Progress,7.42,2025-09-29 18:57:07,4,14,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
293,147,Kenya,Kisumu,Organic,Market Waste,367.38,Medium,,16,Matched,260.9,Closed,6.29,2025-10-05 18:20:39,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
294,147,Kenya,Kisumu,Liquid,Industrial Effluent,21.78,Medium,,23,Matched,2.29,Closed,4.24,2026-02-22 16:01:41,3,11,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,Regulated
295,148,Kenya,Nakuru,Organic,Market Waste,244.59,Medium,,20,Unmatched,211.93,In Progress,6.14,2026-01-06 18:46:35,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
296,148,Kenya,Nakuru,Organic,Livestock Manure,34.02,Medium,,27,Unmatched,6.67,Open,5.08,2026-02-11 17:27:12,1,4,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
297,149,Nigeria,Abuja,Liquid,Septage/Sewage,133.44,High,,52,Unmatched,23.3,Open,6.62,2025-09-19 05:38:59,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
298,149,Nigeria,Abuja,Organic,Agricultural Residue,187.03,High,,26,Unmatched,115.14,Closed,5.04,2025-12-28 05:02:43,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
299,150,Kenya,Nairobi,Organic,Agricultural Residue,227.31,Low,,39,Unmatched,47.38,Closed,5.12,2025-10-28 15:45:45,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
300,150,Kenya,Nairobi,Liquid,Greywater,53.7,Low,,23,Matched,19.63,Closed,7.07,2026-02-02 12:24:08,3,10,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
301,151,Nigeria,Lagos,Liquid,Industrial Effluent,192.7,Low,,2,Unmatched,50.33,In Progress,7.57,2025-10-23 17:09:16,3,11,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated
302,151,Nigeria,Lagos,Organic,Food Scraps,175.72,Low,,28,Unmatched,64.11,In Progress,5.04,2025-11-10 06:01:34,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
303,152,Nigeria,Lagos,Organic,Agricultural Residue,403.94,High,,53,Matched,185.34,Closed,6.71,2025-10-19 21:00:02,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
304,152,Nigeria,Lagos,Solid,PET Bottles,348.48,Low,,30,Unmatched,173.37,Closed,7.39,2026-03-10 14:31:11,2,5,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General
305,153,Kenya,Mombasa,Organic,Livestock Manure,89.46,Medium,,59,Unmatched,42.72,Open,5.61,2026-02-09 22:27:22,1,4,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
306,153,Kenya,Mombasa,Organic,Market Waste,300.92,High,,17,Unmatched,185.67,Closed,5.57,2025-12-29 19:40:09,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
307,154,Kenya,Mombasa,Organic,Market Waste,335.5,High,,56,Unmatched,269.78,Open,5.46,2025-09-17 08:39:09,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
308,154,Kenya,Mombasa,Solid,Textiles/Used Clothing,143.21,High,,39,Matched,145.71,In Progress,7.25,2026-02-04 08:51:04,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
309,155,Kenya,Eldoret,Liquid,Used Cooking Oil,234.2,High,,59,Unmatched,72.51,Open,9.17,2025-10-05 16:23:13,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
310,155,Kenya,Eldoret,Others,Textiles,455.65,Medium,,43,Unmatched,207.61,Open,7.08,2026-03-14 23:42:43,4,14,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated
311,156,Nigeria,Ibadan,Organic,Market Waste,426.86,Medium,,10,Unmatched,148.95,In Progress,6.73,2025-10-28 01:51:44,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
312,156,Nigeria,Ibadan,Solid,PET Bottles,423.07,High,,49,Matched,378.23,Open,7.0,2026-03-14 06:12:46,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
313,157,Nigeria,Port Harcourt,Organic,Agricultural Residue,336.38,Medium,,31,Matched,254.98,In Progress,6.35,2025-12-23 10:11:54,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
314,157,Nigeria,Port Harcourt,Organic,Market Waste,32.19,Low,,55,Unmatched,8.38,In Progress,5.5,2026-02-28 19:48:32,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
315,158,Nigeria,Abuja,Organic,Agricultural Residue,72.13,Medium,,28,Unmatched,35.91,In Progress,6.08,2026-01-31 22:51:38,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
316,158,Nigeria,Abuja,Liquid,Industrial Effluent,206.14,High,,13,Unmatched,55.3,Open,2.57,2025-12-17 16:48:46,3,11,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
317,159,Kenya,Kisumu,Organic,Livestock Manure,420.92,High,,8,Unmatched,272.34,Closed,5.25,2025-11-26 16:19:11,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
318,159,Kenya,Kisumu,Organic,Livestock Manure,293.89,Low,,49,Unmatched,220.82,Closed,6.69,2026-01-30 02:00:48,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
319,160,Nigeria,Kano,Organic,Agricultural Residue,67.22,High,,51,Unmatched,47.61,In Progress,6.26,2026-01-08 23:11:27,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
320,160,Nigeria,Kano,Organic,Market Waste,334.17,Medium,,18,Matched,292.57,In Progress,6.71,2025-10-22 11:13:37,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
321,161,Kenya,Nairobi,Organic,Agricultural Residue,230.64,Low,,2,Matched,202.47,Open,6.69,2025-12-10 21:28:10,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
322,161,Kenya,Nairobi,Organic,Agricultural Residue,481.73,Medium,,45,Unmatched,308.66,Open,5.51,2026-01-25 07:20:08,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
323,162,Nigeria,Lagos,Organic,Market Waste,168.65,High,,60,Unmatched,89.93,Open,5.74,2025-10-07 08:38:48,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
324,162,Nigeria,Lagos,Organic,Agricultural Residue,368.96,High,,27,Matched,170.12,In Progress,6.42,2025-10-21 15:17:36,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
325,163,Nigeria,Lagos,Organic,Food Scraps,175.75,Low,,2,Unmatched,121.3,Open,5.54,2026-02-25 14:39:31,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
326,163,Nigeria,Lagos,Others,Miscellaneous,392.37,Low,,9,Matched,184.97,In Progress,7.19,2025-11-24 10:04:13,4,16,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
327,164,Kenya,Nakuru,Organic,Livestock Manure,290.17,High,,36,Unmatched,64.81,In Progress,6.34,2025-11-29 05:36:45,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
328,164,Kenya,Nakuru,Liquid,Used Cooking Oil,433.04,High,,16,Unmatched,147.84,In Progress,9.35,2025-12-07 20:53:22,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
329,165,Kenya,Kisumu,Liquid,Greywater,407.37,High,,44,Unmatched,133.99,Open,7.4,2025-10-28 03:04:03,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
330,165,Kenya,Kisumu,Organic,Agricultural Residue,94.51,High,,3,Matched,30.39,In Progress,6.81,2025-12-25 09:03:42,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
331,166,Nigeria,Port Harcourt,Others,Construction debris,305.55,Low,,32,Unmatched,73.93,In Progress,6.9,2025-10-30 16:57:28,4,15,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
332,166,Nigeria,Port Harcourt,Liquid,Septage/Sewage,135.46,Low,,5,Matched,53.91,In Progress,4.78,2025-12-04 15:55:45,3,12,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated
333,167,Nigeria,Kano,Organic,Agricultural Residue,472.97,Medium,,31,Matched,376.13,Open,5.86,2025-10-08 10:22:34,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
334,167,Nigeria,Kano,Organic,Food Scraps,96.21,Medium,,40,Unmatched,22.44,Closed,5.07,2026-02-11 08:54:12,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
335,168,Kenya,Nakuru,Organic,Market Waste,245.38,Low,,2,Matched,128.66,Open,6.02,2025-11-16 13:07:50,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
336,168,Kenya,Nakuru,Organic,Food Scraps,379.57,High,,50,Unmatched,73.35,Closed,6.5,2025-10-10 12:34:04,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
337,169,Nigeria,Abuja,Organic,Livestock Manure,97.15,High,,40,Unmatched,29.77,Closed,6.97,2025-12-15 23:44:15,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
338,169,Nigeria,Abuja,Organic,Agricultural Residue,11.85,High,,40,Matched,7.58,Closed,6.39,2025-10-07 22:35:20,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
339,170,Kenya,Kisumu,Organic,Food Scraps,350.19,Medium,,16,Matched,290.24,In Progress,6.14,2025-12-26 10:35:03,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
340,170,Kenya,Kisumu,Others,E-waste,275.78,High,,38,Unmatched,56.61,Open,7.05,2025-10-12 21:52:33,4,13,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
341,171,Kenya,Eldoret,Organic,Food Scraps,50.23,Low,,4,Unmatched,29.4,Open,5.29,2025-12-21 19:08:54,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
342,171,Kenya,Eldoret,Solid,Scrap Metal,198.54,Medium,,14,Unmatched,164.72,Closed,6.93,2026-02-11 12:55:52,2,7,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
343,172,Kenya,Nairobi,Liquid,Used Cooking Oil,283.24,Medium,,48,Unmatched,102.47,In Progress,4.08,2025-11-25 16:01:38,3,9,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated
344,172,Kenya,Nairobi,Liquid,Industrial Effluent,269.65,Low,,20,Unmatched,83.66,In Progress,5.0,2026-01-31 08:45:44,3,11,Low,Store safely and avoid uncontrolled disposal.,Normal,Not Started,Regulated
345,173,Nigeria,Ibadan,Organic,Food Scraps,129.38,High,,51,Matched,104.72,Open,6.63,2025-11-11 11:55:11,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
346,173,Nigeria,Ibadan,Liquid,Septage/Sewage,48.87,Low,,3,Unmatched,10.18,Open,6.54,2026-01-02 16:54:07,3,12,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
347,174,Kenya,Nakuru,Organic,Livestock Manure,87.39,High,,41,Unmatched,33.22,Open,5.89,2026-02-03 17:52:43,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
348,174,Kenya,Nakuru,Solid,Scrap Metal,354.45,Medium,,46,Unmatched,228.47,Open,6.75,2025-09-24 09:43:40,2,7,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
349,175,Nigeria,Kano,Liquid,Greywater,248.83,High,,37,Unmatched,89.95,Closed,10.85,2025-10-02 11:46:53,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
350,175,Nigeria,Kano,Liquid,Greywater,48.84,High,,32,Unmatched,10.82,In Progress,3.71,2025-11-19 05:36:25,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
351,176,Nigeria,Abuja,Organic,Livestock Manure,396.34,High,,29,Unmatched,86.18,Open,5.77,2025-12-21 09:20:48,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
352,176,Nigeria,Abuja,Liquid,Greywater,429.9,Medium,,21,Matched,166.07,Closed,3.65,2025-10-08 23:47:05,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
353,177,Nigeria,Abuja,Liquid,Industrial Effluent,148.03,Medium,,4,Matched,15.36,Open,9.44,2025-11-30 05:41:17,3,11,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated
354,177,Nigeria,Abuja,Organic,Agricultural Residue,19.89,Low,,5,Matched,15.12,In Progress,5.15,2025-11-10 14:12:12,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
